"date","close","volume","open","high","low"
"16:00","80.16","2,265,294","80.45","80.72","79.55"
"2018/09/24","80.1600","2133646.0000","80.6900","80.7200","79.5500"
"2018/09/21","80.9600","6734753.0000","81.5500","82.0000","80.8200"
"2018/09/20","81.0800","3408727.0000","80.6600","81.3400","80.1700"
"2018/09/19","80.4300","2291300.0000","79.5200","80.5350","79.5200"
"2018/09/18","79.3900","2703526.0000","79.2000","79.6400","78.9500"
"2018/09/17","79.1000","3365643.0000","80.1700","80.2465","79.0500"
"2018/09/14","80.0600","3220864.0000","79.0500","80.2200","79.0400"
"2018/09/13","78.9400","3737234.0000","78.4300","79.9200","78.3600"
"2018/09/12","77.9600","3110946.0000","77.2500","78.0700","77.0600"
"2018/09/11","77.4100","2774882.0000","76.2900","77.4600","76.2400"
"2018/09/10","76.5900","2029671.0000","76.7900","77.0300","76.1550"
"2018/09/07","76.4400","2970627.0000","75.3900","76.6200","75.3900"
"2018/09/06","75.6900","4241417.0000","75.9000","76.2400","75.1600"
"2018/09/05","75.7200","3076871.0000","76.8400","76.9700","75.6800"
"2018/09/04","77.1600","1886407.0000","77.6300","77.7000","76.6700"
"2018/08/31","77.6200","2496868.0000","77.3400","78.0400","77.3400"
"2018/08/30","77.5800","1398095.0000","78.1800","78.1900","77.2700"
"2018/08/29","78.1800","1837534.0000","77.5500","78.3600","77.3800"
"2018/08/28","77.4700","1241746.0000","77.9300","78.0100","77.1700"
"2018/08/27","77.7600","1865263.0000","77.6400","78.1590","77.4750"
"2018/08/24","77.1100","2149202.0000","76.7700","77.6000","76.7700"
"2018/08/23","76.7700","3009627.0000","77.2200","77.4200","76.5000"
"2018/08/22","77.2000","2540545.0000","76.5400","77.4050","76.3800"
"2018/08/21","76.7300","2318491.0000","76.2200","77.2490","76.2200"
"2018/08/20","76.2900","2419336.0000","77.1900","77.5400","76.1200"
"2018/08/17","77.2000","1918704.0000","76.5300","77.3000","75.9700"
"2018/08/16","77.2400","3303526.0000","76.9200","77.9200","76.5800"
"2018/08/15","76.2200","2783663.0000","75.9200","76.3900","75.4900"
"2018/08/14","76.5400","2763687.0000","75.6200","76.7400","75.0350"
"2018/08/13","75.3100","2930800.0000","75.6400","76.0800","74.8400"
"2018/08/10","75.6500","3274089.0000","76.0900","76.4200","75.3900"
"2018/08/09","76.1500","3900680.0000","76.8400","77.0800","75.9700"
"2018/08/08","76.8900","2936221.0000","77.8100","78.1000","76.1700"
"2018/08/07","77.6000","3777919.0000","77.6600","78.1100","76.9400"
"2018/08/06","78.1300","3835110.0000","78.0600","78.2600","77.5700"
"2018/08/03","78.1800","1969114.0000","78.4800","78.5900","77.8800"
"2018/08/02","78.4400","3645430.0000","77.8600","78.6500","77.1200"
"2018/08/01","78.5400","2667192.0000","79.2000","79.4700","78.2300"
"2018/07/31","78.6600","2743976.0000","77.4200","78.8250","77.4100"
"2018/07/30","77.2800","2946044.0000","78.1300","78.6000","77.0700"
